Name	Protocol	Elements	Description	Reference
Bi	Diameter	Charging Collection Function (CCF) <> Billing System	Charging Collection Function CDR interface for data records from IMS core elements.	TS 32.225
Cr	SIP	MRFC <> AS	Conveys media control requests, responses and notifications as well as documents between the MRFC and an Application Server	TS 23.218
Cx	Diameter	I/S-CSCF <> HSS	Provides subscriber data to the S-CSCF	TS 29.228 TS 29.229
Dw	Diameter	AAA Server <> SLF	Enables AAA Server to identify correct HSS for a specific user	TS 29.234
Dx	Diameter	I-CSCF <> SLF	For IMS subscribers finds the correct HSS in a multi-HSS environment.	TS 29.228 TS 29.229
Dz	Diameter	BSF <> SLF	The BSF obtains the identity of HSS containing the required subscriber specific data.	TS 29.109 TS 33.220
Gf	MAP	SGSN<>EIR	Used to identify valid user equipment based on the device’s IMEI.	
Gi	IP	GGSN <> PDN	Interface between mobile network and external public or private IP networks (for example, the Internet or IMS network).	TS 29.061 TS 23.002
Dh	Diameter	AS <> SLF	Enables AS to find the HSS holding the applicable User Profile information in a multi-HSS environment.	TS 29.328 TS 29.329
Gm	SIP	UE <> P-CSCF	Supports exchange of messages between SIP user equipment (UE) or a VoIP Gateway and P-CSCF	TS 23.002
Gmb	Diameter	GGSN <> BM-SC	Supports exchange of signaling between the GGSN and the Broadcast-Multicast Service Center for MBMS users.	TS 29.061 TS 23.246 TS 23.002
Gn	GTPv1	SGSN <> GGSN	Conveys control plane messages for establishing and managing tunnels for providing packet data network access. The Gn also manages user plane data packet tunnels from the RAN to the GGSN.	TS 29.060 TS 23.002
Gp	GTPv1	SGSN <> GGSN in other PLMN	Similar to Gn, connects SGSN in visited network to GGSN in home PLMN.	TS 29.060 TS 23.002
Gq	Diameter	AF <> PDF	Supports dynamic QoS-related service information exchanged between the Policy Decision Function (PDF) and the Application Function (AF).	TS 29.209
Gr	MAP	SGSN <> HLR	Authentication, authorization and mobility management of UE within the mobile network.	TS 29.002 TS 23.002
Gx	Diameter	PCEF/PGW <> PCRF	Provides QoS, policy and charging information to the Policy Enforcement Function that resides within the GGSN or PGW.	TS 29.211 TS 29.212 TS 23.203
Gxa	Diameter	PCRF <> BBERF	Transfer of (QoS) policy information from the PCRF to the trusted non-access	TS 29.212
Gxb	Diameter	ePDG <> vPCRF	Transfer of (QoS) policy information from the PCRF to trusted non-access.	TS 23.203
Gxc	Diameter	PCRF <> BBERF	Transfer of (QoS) policy information from the PCRF to the serving gateway.	TS 23.203
Gxx	Diameter	PCRF<>BBERF	Conveys (QoS) policy control from the PCRF.	TS 23.203
Gy	Diameter	PCEF/PGW and OCS	Provides online charging control for event and session based service charging.	TS 32.240 TS 32.299 TS 32.251 TS 23.203: RFC 4006
